id,Noisy_PEAQ,Noisy_SI_SDR,Noisy_SNR,Noisy_LSD,Model_PEAQ,Model_SI_SDR,Model_SNR,Model_LSD,SpecSub_PEAQ,SpecSub_SI_SDR,SpecSub_SNR,SpecSub_LSD
1,-3.2818098362990846,28.448352813720703,28.377826690673828,20.88349,-2.569380888820821,23.675209045410156,23.674617767333984,7.936694,-3.900517804430305,-35.43603515625,-7.044206619262695,17.038055
2,-3.1967528768986764,28.445547103881836,28.388254165649414,20.534214,-2.4713524759102024,23.025638580322266,23.036623001098633,7.78057,-3.901858515726003,-24.75843048095703,-7.055062294006348,16.825418
3,-2.7783179546126413,31.33500862121582,31.323150634765625,19.676125,-2.4265643138523734,23.38636589050293,23.406164169311523,7.877694,-3.8944828129047817,-22.642648696899414,-5.486741542816162,16.32465
4,-2.5006873232104248,35.05461502075195,35.049644470214844,18.561272,-1.6231175210903812,24.833738327026367,24.847976684570312,7.67244,-3.899827088979952,-26.65390968322754,-6.3138957023620605,15.694044
5,-1.5016888355129852,21.799312591552734,21.658740997314453,16.456774,-0.84268579728773,18.315183639526367,18.33197021484375,8.819533,-3.8720497914705407,-26.155946731567383,-7.1561384201049805,14.305449
6,-0.7554963578279108,23.640594482421875,23.50769805908203,13.229435,-0.5150992882644325,18.619407653808594,18.657426834106445,8.14659,-2.922307151074748,-38.3392333984375,-6.978528022766113,12.503643
7,-0.8347986807634289,26.843875885009766,26.70030975341797,13.5900135,-0.5449092269248057,19.76421546936035,19.80017852783203,8.248451,-2.9395397861674533,-22.059717178344727,-6.815976142883301,12.74732
8,-1.5158187050779475,24.069480895996094,23.94972801208496,16.794903,-0.89789979743114,19.8043270111084,19.81975746154785,9.159169,-3.8771254184484785,-26.56614112854004,-7.095747947692871,14.476964
9,-3.580099875365542,16.061302185058594,15.5843505859375,22.205612,-3.360345758855449,15.78748893737793,15.361275672912598,13.434331,-3.7878942834564637,-20.793437957763672,-5.163129806518555,17.646544
10,-1.1292504816030804,23.53912353515625,23.376922607421875,14.363399,-0.6602960944692016,18.12930679321289,18.174102783203125,8.051706,-2.8760735793841943,-19.997905731201172,-7.472128868103027,13.082409
11,-1.9453402083334561,32.33101272583008,32.328086853027344,16.59345,-1.788381309934691,22.14320182800293,22.16756820678711,8.804179,-3.8421543229175588,-25.820138931274414,-7.421300888061523,14.39438
12,-0.2601760284698975,37.856937408447266,37.78887176513672,10.026488,-0.1655039295709959,21.416513442993164,21.445913314819336,5.8453197,-2.9315025659602796,-26.401233673095703,-6.7150068283081055,11.342374
13,-2.9989073033375857,41.42417907714844,41.42011642456055,18.379221,-1.7751719914032509,27.82033920288086,27.82709312438965,7.6074476,-3.9047051590124484,-41.45469284057617,-6.680562496185303,16.132938
14,-1.018750744119103,41.33867645263672,41.32976531982422,13.66866,-0.4400009513358434,24.64866828918457,24.663005828857422,7.492968,-3.243935404971384,-20.41141128540039,-7.881199836730957,13.050751
15,-1.9170523577338878,33.588871002197266,33.456783294677734,15.613095,-1.6763142546026035,23.87059783935547,23.881628036499023,7.4261384,-3.8472005511364333,-29.702425003051758,-5.785529613494873,14.19536
16,-1.5475342918204564,30.085180282592773,30.024311065673828,13.926212,-1.0509486884193229,21.993595123291016,22.01898765563965,8.230663,-3.880836537671131,-27.983877182006836,-4.30855655670166,13.146444
17,-2.193018747908982,29.24536895751953,29.21375274658203,18.4979,-2.2566998362651587,22.13388442993164,22.15987777709961,8.61916,-3.8320766212115682,-23.648479461669922,-6.721692085266113,15.64307
18,-3.4758381350388037,16.05250358581543,15.932205200195312,19.390385,-3.453788477047399,14.224586486816406,14.282647132873535,10.345211,-3.8543568694916486,-19.91091537475586,-4.518791198730469,16.181473
19,-0.6462403113147253,38.50727844238281,38.484798431396484,10.263679,-0.39447760398011056,18.71355438232422,18.758543014526367,5.6988573,-3.412477188144303,-27.94518280029297,-7.026699066162109,11.630743
20,-1.0896312890388828,29.83637237548828,29.75886344909668,12.272686,-0.4879630338698018,22.83551788330078,22.850929260253906,6.530431,-3.4776575392363327,-11.857705116271973,-8.22701358795166,12.3396435
21,-1.68491925304005,28.892654418945312,28.814735412597656,14.110708,-1.5321829818054047,19.034259796142578,19.08814239501953,6.853893,-3.810006556803411,-27.616695404052734,-5.212886333465576,13.668466
22,-0.5864523574115648,36.5198974609375,36.477500915527344,9.940431,-0.428485775982856,23.11153793334961,23.132694244384766,6.341291,-3.080247299336525,-18.978229522705078,-7.451930522918701,11.448713
23,-0.75175653364614,40.95502853393555,40.93778610229492,9.529128,-0.5252261371411877,21.752531051635742,21.777301788330078,5.8399687,-3.314173497002299,-27.266542434692383,-7.205531597137451,11.45793
24,-2.8629976165985918,26.26348304748535,26.256826400756836,20.039701,-2.287909556370469,22.24919319152832,22.272377014160156,8.920801,-3.8930530220396493,-22.039325714111328,-7.323801517486572,16.479456
25,-1.8237849284212073,29.695547103881836,29.682979583740234,16.90532,-1.1895958935758566,22.385086059570312,22.409934997558594,8.987289,-3.8835084784547416,-15.796127319335938,-6.626923084259033,14.71263
26,-3.0258432834204583,26.40204429626465,26.37763786315918,19.913181,-2.080880951074207,21.834428787231445,21.857908248901367,8.623078,-3.8967579796510763,-21.068817138671875,-6.895442008972168,16.421467
